% Model,Untitled_plug_l_0.09_cap_l_0.9_u_a_5e-9_run_t_5880.mph
% Version,COMSOL 4.4.0.248
% Date,"Mar 10 2015, 11:21"
% Dimension,1
% Nodes,23521
% Expressions,1
% Description,Table graph
% ,
143.5,1.2597401508868904
143.75,3.2652408175422876
144,0.0544934884255382
144.25,2.026357549193351
144.5,0.5331687547745539
144.75,1.1362889147255515
145,2.244106277847233
145.25,3.340656012066981
145.5,-1.9523080824413535
145.75,-3.5989905299652314
146,2.286960354316472
146.25,-2.109481577052543
146.5,-1.3958404890416702
146.75,0.1479808544135766
147,-2.673814221766409
147.25,-4.7184798152074965
147.5,1.170324053541663
147.75,1.549677260926338
148,0.6216720954167956
148.25,-2.8590549465926642
148.5,-0.3894702403047334
148.75,-1.824340987542804
149,4.8600289266272805
149.25,-1.3372676910863623
149.5,-0.31182372456897506
149.75,0.3758705459090319
150,2.443086694489277
150.25,0.9204733114706646
150.5,-1.1382799440054547
150.75,1.6436304068784076
151,0.09902828671963344
151.25,-2.679431620916005
